date,time,latitude,longitude,object
2024-12-03,13:38:01,19.061002,72.903494,
2024-12-03,13:38:02,19.060991,72.903496,
2024-12-03,13:38:03,19.060993,72.903497,
2024-12-03,13:38:04,19.060993,72.903497,
2024-12-03,13:38:05,19.060992,72.903496,
2024-12-03,13:38:06,19.060992,72.903496,
2024-12-03,13:38:07,19.060992,72.903496,
2024-12-03,13:38:08,19.060983,72.903498,
2024-12-03,13:38:09,19.060982,72.903496,waterlogging
2024-12-03,13:38:10,19.060982,72.903496,
2024-12-03,13:38:11,19.060985,72.90349,
2024-12-03,13:38:21,19.060928,72.903548,
2024-12-03,13:38:23,19.060917,72.903565,pothole
2024-12-03,13:38:24,19.060896,72.903604,waterlogging
2024-12-03,13:38:25,19.060887,72.903619,waterlogging
2024-12-03,13:38:26,19.060872,72.903648,
2024-12-03,13:38:27,19.060858,72.903677,uneven surface
2024-12-03,13:38:28,19.060841,72.903709,crack
2024-12-03,13:38:29,19.060829,72.903744,waterlogging
2024-12-03,13:38:30,19.060814,72.903781,waterlogging
2024-12-03,13:38:31,19.060802,72.90382,crack
2024-12-03,13:38:32,19.06079,72.903857,
2024-12-03,13:38:33,19.060781,72.903896,
2024-12-03,13:38:34,19.060771,72.903929,crack
2024-12-03,13:38:35,19.060756,72.903965,
2024-12-03,13:38:36,19.06074,72.904002,
2024-12-03,13:38:37,19.060723,72.904044,
2024-12-03,13:38:38,19.060708,72.904085,crack
2024-12-03,13:38:39,19.06069,72.904121,uneven surface
2024-12-03,13:38:40,19.060667,72.904151,uneven surface
2024-12-03,13:38:41,19.060652,72.904184,
2024-12-03,13:38:42,19.060635,72.904218,
2024-12-03,13:38:43,19.060611,72.904251,waterlogging
2024-12-03,13:38:44,19.060598,72.904289,crack
2024-12-03,13:38:45,19.060582,72.904327,pothole
2024-12-03,13:38:46,19.060563,72.904369,crack
2024-12-03,13:38:47,19.060542,72.904411,
2024-12-03,13:38:48,19.060522,72.904454,
2024-12-03,13:38:49,19.0605,72.9045,pothole
2024-12-03,13:38:50,19.060481,72.904545,
2024-12-03,13:38:51,19.06046,72.90459,
2024-12-03,13:38:52,19.060442,72.904637,debris
2024-12-03,13:38:53,19.060419,72.904685,
2024-12-03,13:38:54,19.060399,72.904732,debris
2024-12-03,13:38:55,19.060377,72.904782,
2024-12-03,13:38:56,19.060352,72.904829,uneven surface
2024-12-03,13:38:57,19.060329,72.904878,pothole
2024-12-03,13:38:58,19.060305,72.90493,crack
2024-12-03,13:38:59,19.060285,72.904984,
2024-12-03,13:39:00,19.060261,72.905034,
2024-12-03,13:39:01,19.060241,72.905085,crack
2024-12-03,13:39:02,19.060219,72.90513,
2024-12-03,13:39:03,19.060196,72.905166,
2024-12-03,13:39:04,19.060181,72.905204,
2024-12-03,13:39:05,19.060163,72.905244,crack
2024-12-03,13:39:06,19.060148,72.905273,
2024-12-03,13:39:07,19.060141,72.905288,uneven surface
2024-12-03,13:39:08,19.06014,72.905309,
2024-12-03,13:39:09,19.060127,72.905318,crack
2024-12-03,13:39:10,19.060123,72.905335,crack
2024-12-03,13:39:11,19.060108,72.905371,
2024-12-03,13:39:12,19.060101,72.905385,pothole
2024-12-03,13:39:13,19.060089,72.90542,waterlogging
2024-12-03,13:39:14,19.060075,72.905453,
2024-12-03,13:39:15,19.06006,72.90549,debris
2024-12-03,13:39:16,19.060036,72.905526,
2024-12-03,13:39:17,19.060025,72.905569,crack
2024-12-03,13:39:18,19.06001,72.905597,
2024-12-03,13:39:19,19.060007,72.905608,
2024-12-03,13:39:20,19.060004,72.905619,pothole
